1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 
100 200 300 400 500 600 700 800 900 1000 2000 3000 4000 5000 6000 7000 8000 9000 10000 20000 30000 40000 50000 60000 70000 80000 90000 
4000 4004 3000 5068 3931 3998 4001 5004 5999 5996 9000 15002 21000 49003 43995 79596 84994 95345 119002 399053 886031 2068566 2530265 2781178 3315516 4293222 5351678 
1285813 1032533 1258644 1073353 956980 965722 877008 1149421 896748 923664 954853 971843 1027179 1033635 946552 967535 952065 1130216 1204622 973024 1144951 1144256 1333295 1273597 1253687 1330896 1231252 
